package,name,composable,skippable,restartable,readonly,inline,isLambda,hasDefaults,defaultsGroup,groups,calls,
com.omar.musica.ui.actions.deleteRequestLauncher,deleteRequestLauncher,1,0,0,0,0,0,0,0,1,3,
com.omar.musica.ui.actions.rememberSongDeleter,rememberSongDeleter,1,0,0,0,0,0,0,0,3,2,
com.omar.musica.ui.albumart.SongAlbumArtImage,SongAlbumArtImage,1,1,1,0,0,0,0,0,1,6,
com.omar.musica.ui.common.rememberCommonSongsActions,rememberCommonSongsActions,1,0,0,0,0,0,0,0,1,7,
com.omar.musica.ui.common.RenamableTextView,RenamableTextView,1,1,1,0,0,0,0,0,1,1,
com.omar.musica.ui.dialogs.InputStringDialog,InputStringDialog,1,1,1,0,0,0,1,0,2,4,
com.omar.musica.ui.menu.SongDropdownMenu,SongDropdownMenu,1,0,1,0,0,0,0,0,1,1,
com.omar.musica.ui.playlist.AddToPlaylistDialog,AddToPlaylistDialog,1,0,1,0,0,0,0,0,1,5,
com.omar.musica.ui.playlist.rememberAddToPlaylistDialog,rememberAddToPlaylistDialog,1,0,0,0,0,0,0,0,2,3,
com.omar.musica.ui.songs.rememberSongDialog,rememberSongDialog,1,0,0,0,0,0,0,0,2,4,
com.omar.musica.ui.songs.SongMetadataRow,SongMetadataRow,1,1,1,0,0,0,0,0,1,1,
com.omar.musica.ui.songs.SongMetadataSpacer,SongMetadataSpacer,1,1,1,0,0,0,0,0,1,1,
com.omar.musica.ui.songs.SongRow,SongRow,1,1,1,0,0,0,0,0,1,2,
com.omar.musica.ui.songs.SongInfoRow,SongInfoRow,1,1,1,0,0,0,0,0,1,1,
com.omar.musica.ui.songs.SongOverflowMenu,SongOverflowMenu,1,0,1,0,0,0,0,0,1,3,
com.omar.musica.ui.songs.SongsSummary,SongsSummary,1,1,1,0,0,0,0,0,1,1,
com.omar.musica.ui.theme.MusicaTheme,MusicaTheme,1,1,1,0,0,0,0,0,4,9,
com.omar.musica.ui.topbar.SelectionTopAppBarScaffold,SelectionTopAppBarScaffold,1,0,1,0,0,0,0,0,1,1,
com.omar.musica.ui.topbar.SelectionToolbar,SelectionToolbar,1,0,1,0,0,0,0,0,1,1,
com.omar.musica.ui.topbar.OverflowMenu,OverflowMenu,1,0,1,0,0,0,0,0,1,2,
